ranking,name,wealth,wealth_change,ranking_change,company,company_en,headquarters,industry,industry_en,relations,gender,age,birthday,nationality,birth_place,permanent_place,education,school,native_place,wealth_numeric,age_numeric,industry_clean,location_clean
247,周超男,195.0,-5%,14,润泽科技,Range Technology,河北廊坊,软件与信息技术服务,Software and Information Services,家族,先生,64,1960-01-01,198,中国-湖南-衡阳,中国-河北-廊坊,,,,195.0,64,软件与信息技术服务,河北廊坊
255,曹龙祥、曹飞,190.0,9%,58,济川控股,Jumpcan,江苏泰州,医药,Pharmaceuticals,父子,先生,67,1957-09-01,198,,中国-江苏-泰兴,,,,190.0,67,医药,江苏泰州
255,陈泰铭,190.0,6%,47,国巨,Yageo,台湾台北,电子制造、收藏,Manufacturing,家族,先生,68,1956-09-28,198,中国-台湾-台南,中国-台湾-台北,,,中国-台湾-台南,190.0,68,电子制造、收藏,台湾台北
255,范现国、范明强,190.0,-12%,-12,今麦郎,JML,河北邢台,食品与饮料,Food & Beverage,父子,先生,64,1960-01-01,198,中国-河北-邢台,中国-河北-邢台,,,中国-河北-邢台,190.0,64,食品与饮料,河北邢台
255,李赶坡,190.0,0%,25,敬业,Jingye,河北石家庄,钢铁,Steel,未知,先生,75,1949-07-01,198,中国-河北,中国-河北-石家庄,,,中国-河北,190.0,75,钢铁,河北石家庄
255,李义海、李鑫,190.0,-43%,-109,济民可信,Jemincare,江西南昌,医药,Pharmaceuticals,父子,先生,61,1963-01-01,198,中国-江西-南昌,中国-江西-南昌,本科,江西师范,中国-江西-南昌,190.0,61,医药,江西南昌
255,廖汤慧霭,190.0,6%,47,纪惠,Gale Well Group,香港,房地产,Estate Holding,未知,女士,76,1948-01-01,198,中国-香港,中国-香港,,,中国-香港,190.0,76,房地产,香港
255,王正华,190.0,-12%,-12,春秋航空,Spring Airlines,上海长宁,航空,Airlines,家族,先生,80,1944-04-01,198,中国-上海,中国-上海,硕士,王煜（美国南伊利诺伊大学）,中国-上海,190.0,80,航空,上海长宁
255,吴以岭,190.0,-25%,-53,以岭,Yiling Pharmaceutical,河北石家庄,医药,Pharmaceuticals,家族,先生,75,1949-10-01,198,中国-河北-衡水,中国-河北-石家庄,硕士,南京中医,中国-河北-衡水,190.0,75,医药,河北石家庄
255,项光通,190.0,90%,330,青山控股,Tsingshan,浙江温州,钢铁,Steel,未知,先生,未知,1900-01-01,198,中国-浙江-温州,中国-浙江-温州,,,,190.0,0,钢铁,浙江温州
255,周晓萍,190.0,-19%,-32,星宇股份,Shinye,江苏常州,汽车灯具,Automotive lighting ,家族,女士,63,1961-03-01,198,中国-江苏-常州,中国-江苏-常州,,,中国-江苏-常州,190.0,63,汽车灯具,江苏常州
265,曾小山,185.0,0%,25,曾氏企业,Zengshi,湖南长沙,铝业,Aluminum,家族,先生,79,1945-12-01,198,中国-湖南-邵东,中国-湖南-长沙,,,中国-湖南-邵东,185.0,79,铝业,湖南长沙
265,陈志平,185.0,12%,77,思摩尔,Smoore,广东深圳,电子烟,Consumer Electronics,未知,先生,48,1976-01-01,198,,中国-广东-深圳,,,,185.0,48,电子烟,广东深圳
265,傅利泉、陈爱玲,185.0,-35%,-91,大华技术,Dahua Technology,浙江杭州,软件、电子通讯产品,"Software, Electronic and communication products",夫妇,先生,57,1967-01-01,198,中国-浙江-杭州,中国-浙江-杭州,,,中国-浙江,185.0,57,软件、电子通讯产品,浙江杭州
265,黄敏利、许慧卿,185.0,-10%,-4,敏华,Manwah,香港,休闲沙发,Recreational Sofa,夫妇,先生,59,1965-01-01,198,中国-福建-泉州,中国-香港,本科,,,185.0,59,休闲沙发,香港
265,黄文仔,185.0,-16%,-28,星河湾,Star River,广东广州,房地产、投资,"Real Estate, Investments",未知,先生,71,1953-07-01,198,中国-广东-广州,中国-广东-广州,硕士,,中国-广东-广州,185.0,71,房地产、投资,广东广州
265,简军,185.0,-51%,-142,爱美客,Imeik,北京,生物制药,Biotechnology,未知,女士,61,1963-11-01,198,中国-北京,中国-北京,,,,185.0,61,生物制药,北京
265,梁光伟,185.0,37%,162,华强,Huaqiang,广东深圳,投资,Investments,未知,先生,61,1963-09-01,198,中国-浙江-台州,中国-广东-深圳,硕士,深圳,中国-浙江-台州,185.0,61,投资,广东深圳
265,谢伟通,185.0,0%,25,华友钴业,Huayou Cobalt,浙江嘉兴,有色金属,Non-ferrous metals,未知,先生,67,1957-01-01,198,中国-台湾,中国-浙江-嘉兴,,,,185.0,67,有色金属,浙江嘉兴
265,许邦福,185.0,NEW,New,华城电机,Fortune Electric,台湾桃园,电子元件,Electronic Components,家族,未知,未知,1900-01-01,198,中国-浙江-宁波,台湾桃园,硕士,日本京都大学,,185.0,0,电子元件,台湾桃园
265,张双旺、张东海,185.0,9%,60,伊泰,Yitai,内蒙古鄂尔多斯,煤炭,Coal,父子,先生,81,1943-06-01,198,中国-内蒙古-鄂尔多斯,中国-内蒙古-鄂尔多斯,本科,内蒙古轻工,中国-陕西-榆林,185.0,81,煤炭,内蒙古鄂尔多斯
265,张文中,185.0,-10%,-4,物美,WuMart,北京,零售,Retail,未知,先生,62,1962-07-01,198,中国-山东,中国-北京,博士,南开、南开、斯坦福,中国-山东,185.0,62,零售,北京
276,季琦,180.0,-22%,-49,华住,Home Inn,上海闵行,连锁酒店,Hotel chain ,未知,先生,58,1966-10-01,198,中国-江苏-南通,中国-上海,,,中国-江苏-南通,180.0,58,连锁酒店,上海闵行
276,靳保芳,180.0,-60%,-179,晶澳科技,JA Solar,河北邢台,光伏,Solar Energy,家族,先生,72,1952-09-01,198,中国-河北-邢台,中国-河北-邢台,,,中国-河北-邢台,180.0,72,光伏,河北邢台
276,李洪信,180.0,6%,49,太阳纸业,Sunpaper,山东济宁,造纸,Papermaking ,家族,先生,71,1953-01-01,198,中国-福建,中国-山东-济宁,本科,,中国-山东,180.0,71,造纸,山东济宁
276,毛文超,180.0,NEW,New,小红书,Xiaohongshu,上海,生活服务平台、电商,E-Commerce,未知,未知,未知,1900-01-01,198,中国-四川-绵阳,上海,本科,上海交通大学,,180.0,0,生活服务平台、电商,上海
276,王俊民、申萍,180.0,33%,151,海思科,Haisco Pharmaceutical,西藏山南,医药,Pharmaceuticals,夫妇,先生,56,1968-12-01,198,中国-辽宁,新加坡,硕士,沈阳医科、长江商学院,,180.0,56,医药,西藏山南
276,王树华,180.0,-10%,-8,冀南钢铁,Yuhua Steel,河北邯郸,钢铁,Steel,家族,先生,未知,1900-01-01,198,,中国-河北-邯郸,,,,180.0,0,钢铁,河北邯郸
276,翁先定,180.0,9%,66,新产业,New Industries,广东深圳,医疗器械,Health Tech,未知,先生,63,1961-11-28,198,,中国-广东-深圳,,,,180.0,63,医疗器械,广东深圳
276,阎志,180.0,-5%,4,卓尔,Zhuoer,湖北武汉,房地产、投资,"Real estate, Investments",未知,先生,52,1972-07-01,198,中国-湖北-黄冈,中国-湖北-武汉,硕士,武大,,180.0,52,房地产、投资,湖北武汉
276,杨卫东、杨亚珍,180.0,6%,49,卫星石化,Zhejiang Satellite Petro Chemical,浙江嘉兴,化工,Chemicals,夫妇,先生,56,1968-01-01,198,中国-浙江,中国-浙江-嘉兴,,,,180.0,56,化工,浙江嘉兴
276,张力、张量,180.0,33%,151,富力地产,R & F,广东广州,投资、房地产,"Investments, Real Estate",父子,先生,71,1953-01-01,198,中国-广东-广州,中国-广东-广州,博士,美国波士顿,,180.0,71,投资、房地产,广东广州
276,张松桥,180.0,-12%,-15,中渝,Zhongyu,香港,投资、房地产,"Investments, Real Estate",未知,先生,60,1964-07-01,198,中国-重庆,中国-香港,硕士,党校,中国-重庆,180.0,60,投资、房地产,香港
276,周泽荣,180.0,-18%,-39,侨鑫,Kingold,广东广州,房地产、投资,"Real Estate, Investments",未知,先生,70,1954-01-01,198,中国-广东-汕头,中国-广东-深圳,,,中国-广东-汕头,180.0,70,房地产、投资,广东广州
288,蒋卫平,175.0,-46%,-138,天齐锂业,Tianqi,四川遂宁,锂矿,Mining,家族,先生,69,1955-03-01,198,中国-四川-成都,中国-四川-遂宁,本科,,,175.0,69,锂矿,四川遂宁
288,潘石屹、张欣,175.0,-5%,2,SOHO中国,SOHO China,北京,投资、房地产,"Investments, Real Estate",夫妇,先生,61,1963-01-01,198,中国-甘肃-天水,中国-北京,,,中国-甘肃-天水,175.0,61,投资、房地产,北京
288,唐彬森,175.0,-30%,-83,元气森林,Genki Forest,北京,饮料,Food & Beverage,未知,先生,42,1982-01-01,198,中国-安徽-合肥,中国-北京,,,中国-安徽-合肥,175.0,42,饮料,北京
288,阳萌、贺丽,175.0,3%,37,安克,Anker,湖南长沙,电子商务,E-Commerce,夫妇,先生,42,1982-05-01,198,,中国-湖南-长沙,,,,175.0,42,电子商务,湖南长沙
288,张静章,175.0,-3%,14,海天国际,Haitian,浙江宁波,注塑机,Injection molding machine,家族,先生,87,1937-01-01,198,中国-浙江-宁波,中国-浙江-宁波,,,,175.0,87,注塑机,浙江宁波
293,安康,170.0,-24%,-61,华兰生物,Hualan Biological Engineering,河南新乡,生物制药,Biopharmaceuticals,家族,先生,75,1949-02-01,198,中国-河南-新乡,中国-河南-新乡,本科,河南师范,,170.0,75,生物制药,河南新乡
293,黄立、黄晟,170.0,-21%,-50,高德电气,Guide Electrics,湖北武汉,电子制造,Electronics,父子,先生,61,1963-06-01,198,中国-陕西-西安,中国-湖北-武汉,硕士,华中科技,,170.0,61,电子制造,湖北武汉
293,黄茂如、张静,170.0,0%,32,茂业,Maoye,广东深圳,投资、房地产,"Investments, Real Estate",夫妇,先生,59,1965-01-01,198,中国-广东-潮州,中国-广东-深圳,硕士,,中国-广东-揭阳,170.0,59,投资、房地产,广东深圳
293,蒋业华,170.0,-3%,20,华宇,Huayu,重庆,房地产,Real estate,未知,先生,61,1963-01-01,198,中国-重庆,中国-重庆,,,中国-重庆,170.0,61,房地产,重庆
293,林耀英,170.0,36%,178,大立光,Largan,台湾台北,电子元件,Electronic Components,家族,先生,91,1933-01-01,198,,中国-台湾-台中,,,,170.0,91,电子元件,台湾台北
293,戚振波,170.0,0%,32,美腕,Meione,上海,新零售,New Retail,未知,先生,未知,1900-01-01,198,,中国-上海,,,,170.0,0,新零售,上海
293,钱东奇、钱程,170.0,-21%,-50,科沃斯,Ecovacs,江苏苏州,机器人,Robot,父子,先生,66,1958-02-01,198,中国-江苏-南京,中国-江苏-苏州,硕士,南大、南大,中国-江苏-南京,170.0,66,机器人,江苏苏州
293,肖永明,170.0,21%,113,藏格矿业,Zangge Mining,青海格尔木,矿产,Mining,家族,先生,60,1964-07-01,198,中国-四川-资阳,中国-北京,,,,170.0,60,矿产,青海格尔木
293,邢李㷧,170.0,0%,32,思捷环球,Esprit,香港,投资,Investments,未知,先生,75,1949-01-01,198,中国-香港,中国-香港,,,中国-香港,170.0,75,投资,香港
293,张帆,170.0,6%,65,汇顶科技,Goodix,广东深圳,半导体芯片,Electronic Components,未知,先生,59,1965-12-01,198,中国-四川-成都,中国-广东-深圳,本科,电子科技,中国-四川-成都,170.0,59,半导体芯片,广东深圳
293,张宏伟,170.0,-51%,-153,东方,Orient,北京,能源、零售,"Energy, Retail",未知,先生,70,1954-01-01,198,中国-黑龙江-哈尔滨,中国-北京,硕士,哈工大,中国-黑龙江,170.0,70,能源、零售,北京
293,周胜馥,170.0,NEW,New,拉拉科技,Lalatech,广东深圳,货运物流,Transportation & Logistics,未知,先生,47,1977-01-01,0,,中国-香港,,,,170.0,47,货运物流,广东深圳
293,邹支农,170.0,31%,162,天孚通信,Tfc Optical,江苏苏州,通信设备,Manufacturing,家族,先生,56,1968-04-01,198,,中国-江苏-苏州,,,,170.0,56,通信设备,江苏苏州
306,蔡东晨,165.0,-11%,-16,石药,CSPC Pharmaceutical,河北石家庄,医药,Pharmaceuticals,未知,先生,71,1953-02-01,198,中国-河北-石家庄,中国-河北-石家庄,硕士,南开,中国-河北-石家庄,165.0,71,医药,河北石家庄
306,陈凯臣,165.0,-8%,-4,立白,Liby,广东广州,日化用品,Personal Care,家族,先生,未知,1900-01-01,198,中国-广东-揭阳,中国-广东-广州,,,中国-广东-揭阳,165.0,0,日化用品,广东广州
306,邓伟明、吴小歌,165.0,-23%,-63,中伟股份,Cngr,湖南长沙,工业产品,Industrial Products,夫妇,先生,56,1968-09-01,198,中国-湖南-长沙,中国-湖南-长沙,,,,165.0,56,工业产品,湖南长沙
306,利约翰,165.0,18%,100,中电,CLP,香港,能源,Energy,未知,先生,70,1954-01-01,198,,中国-香港,,,,165.0,70,能源,香港
306,邵钦祥,165.0,0%,36,花园,Garden,浙江金华,工业制造、房地产,"Industrial manufacturing, real estate",家族,先生,70,1954-01-01,198,中国-浙江-金华,中国-浙江-金华,,,,165.0,70,工业制造、房地产,浙江金华
306,王华君、吴兰兰,165.0,0%,36,裕同包装,Yuto Packaging,广东深圳,包装,Packaging,夫妇,先生,54,1970-09-01,198,中国-江西-九江,中国-广东-深圳,硕士,,,165.0,54,包装,广东深圳
306,王文京,165.0,-43%,-135,用友,Yonyou,北京,软件与信息服务,Software and Information Services,未知,先生,60,1964-12-01,198,中国-江西-上饶,中国-北京,本科,江西财经,中国-江西-上饶,165.0,60,软件与信息服务,北京
306,王希成,165.0,-18%,-38,玲珑轮胎,Linglong ,山东烟台,轮胎,Tires ,家族,先生,76,1948-11-01,198,中国-山东,中国-山东-烟台,,,,165.0,76,轮胎,山东烟台
306,吴少勋,165.0,-18%,-38,劲牌,Jingjiu,湖北黄石,保健酒,Food & Beverages,未知,先生,68,1956-01-01,198,中国-湖北-黄石,中国-湖北-黄石,本科,黄石市党校,,165.0,68,保健酒,湖北黄石
306,徐乘,165.0,0%,36,徐福记,Hsu Fu Chi,广东东莞,食品,Food & Beverages,家族,先生,72,1952-01-01,198,中国-台湾-台北,中国-广东-东莞,,,中国-台湾-台北,165.0,72,食品,广东东莞
306,虞锋,165.0,-3%,19,云锋基金,YF Capital,上海徐汇,投资,Investments,家族,先生,61,1963-07-01,198,中国-上海,中国-上海,本科,复旦,中国-上海,165.0,61,投资,上海徐汇
306,张万镇,165.0,0%,36,三环,Three-Circle,广东潮州,通信部件、电子元器件,Electronic Components,未知,先生,75,1949-12-01,198,中国-广东-潮州,中国-广东-潮州,,,中国-广东-潮州,165.0,75,通信部件、电子元器件,广东潮州
318,陈爱莲、吴良定,160.0,28%,153,万丰,Wanfeng Auto,浙江绍兴,智能制造、投资,Automobile parts,夫妇,先生,66,1958-01-01,198,中国-浙江-绍兴,中国-浙江-绍兴,,,中国-浙江-绍兴,160.0,66,智能制造、投资,浙江绍兴
318,陈明永,160.0,10%,70,OPPO,OPPO,广东东莞,消费电子产品,Consumer Electronics,未知,先生,55,1969-07-01,198,中国-四川-达州,中国-广东-东莞,本科,浙大,中国-四川-达州,160.0,55,消费电子产品,广东东莞
318,陈谭庆芬,160.0,0%,40,恒隆,Hang Lung,香港,房地产,Estate Holding,家族,先生,未知,1900-01-01,198,,中国-香港,,,,160.0,0,房地产,香港
318,冯海良,160.0,-16%,-38,海亮,Hailiang,浙江绍兴,铜加工、投资,"Copper, Investments",未知,先生,64,1960-01-01,198,中国-浙江,中国-浙江-绍兴,,,,160.0,64,铜加工、投资,浙江绍兴
318,葛卫东,160.0,-3%,24,混沌投资,Hundun,上海浦东,投资,Investments,未知,先生,55,1969-01-01,198,,中国-上海,本科,川大,,160.0,55,投资,上海浦东
318,梁绍鸿,160.0,0%,40,大鸿辉,Tai Hung Fai,香港,房地产,Estate Holding,未知,先生,72,1952-01-01,198,中国-香港,中国-香港,,,中国-香港,160.0,72,房地产,香港
318,穆荣均,160.0,-6%,7,美团,Meituan,北京,生活服务,Life Service,未知,先生,44,1980-01-01,198,,中国-北京,硕士,清华、清华,,160.0,44,生活服务,北京
318,彭蕾,160.0,-3%,24,阿里系,Alibaba,浙江杭州,电子商务、金融科技,"E-commerce, fintech",未知,先生,53,1971-01-01,198,,新加坡,,,,160.0,53,电子商务、金融科技,浙江杭州
318,伍步高,160.0,0%,40,永隆,Wing Lung Bank,香港,银行业,Banking,家族,先生,80,1944-01-01,198,中国-香港,中国-香港,,,中国-广东-佛山,160.0,80,银行业,香港
327,程一笑,155.0,-26%,-74,快手科技,Kuaishou,北京,传媒娱乐,Media & Entertainment,未知,先生,39,1985-01-01,0,,中国-北京,,,,155.0,39,传媒娱乐,北京
327,李丐腾,155.0,-46%,-153,飞科电器,Flyco,上海松江,小家电,Small home appliances,家族,先生,52,1972-04-01,198,中国-浙江-温州,中国-上海,硕士,,中国-浙江-温州,155.0,52,小家电,上海松江
327,林明成,155.0,3%,50,华南金控,Hua Nan,台湾台北,金融服务,Financial Services,家族,先生,81,1943-01-03,198,中国-台湾,中国-台湾-台北,,,,155.0,81,金融服务,台湾台北
327,罗家宝,155.0,0%,43,百乐,Lobo Investment,香港,房地产,Estate Holding,未知,先生,75,1949-01-01,198,,中国-香港,,,,155.0,75,房地产,香港
327,吴冠江、刘铁鹰,155.0,-14%,-25,智飞生物,Zhifei,重庆,疫苗,Medicine ,夫妇,先生,56,1968-12-01,198,中国-四川-乐山,中国-重庆,,,中国-四川-乐山,155.0,56,疫苗,重庆
327,谢良志、李翰园,155.0,-35%,-113,神州,Sinocelltech,北京,生物制药,Biotech,夫妇,先生,58,1966-01-01,198,,中国-北京,,,,155.0,58,生物制药,北京
327,张荣华,155.0,7%,61,荣程,Rockcheck,天津,钢铁,Steel,家族,女士,55,1969-11-01,198,中国-天津,中国-天津,硕士,,中国-天津,155.0,55,钢铁,天津
327,周鸿祎,155.0,-28%,-84,三六零安全科技,360 Security Technology,北京,网络信息服务,Cyber Security,未知,先生,54,1970-10-01,198,中国-湖北-黄冈,中国-北京,硕士,西交大、西交大,中国-湖北-黄冈,155.0,54,网络信息服务,北京
335,蔡东青,150.0,-9%,7,奥飞娱乐,Alpha Animation,广东汕头,动漫,Media & Entertainment,家族,先生,55,1969-04-01,198,中国-广东-汕头,中国-广东-汕头,硕士,,中国-广东-汕头,150.0,55,动漫,广东汕头
335,黄绍武,150.0,11%,92,神州通,SinoPostgraduate,广东深圳,投资,Investments,未知,先生,54,1970-12-01,198,中国-江西-九江,中国-广东-深圳,,,中国-江西-九江,150.0,54,投资,广东深圳
335,李留法、李凤娈,150.0,-44%,-147,天瑞,Tianrui,河南平顶山,水泥、铝业,"Cement, Aluminum",夫妇,先生,65,1959-01-01,198,中国-河南-平顶山,中国-河南-平顶山,,,,150.0,65,水泥、铝业,河南平顶山
335,倪永培,150.0,-32%,-98,迎驾,Yingjia,安徽六安,白酒,Spirit,未知,先生,72,1952-01-01,198,中国-安徽-六安,中国-安徽-六安,,,中国-安徽-六安,150.0,72,白酒,安徽六安
335,任元林、任乐天,150.0,50%,250,扬子江船业,Yangzijiang Shipbuilding,江苏无锡,造船,Shipbuilding ,父子,先生,71,1953-01-01,198,中国-江苏-无锡,中国-江苏-无锡,,,中国-江苏-无锡,150.0,71,造船,江苏无锡
335,王水福、陈桂花,150.0,-6%,23,西子联合控股,Xizi,浙江杭州,电梯、锅炉、房地产,"Elevators, boilers, real estate",夫妇,先生,69,1955-01-01,198,中国-浙江-杭州,中国-浙江-杭州,,,,150.0,69,电梯、锅炉、房地产,浙江杭州
335,魏应州,150.0,0%,42,顶新,Ting Hsin,天津,食品和饮料,Food & Beverages,未知,先生,70,1954-01-01,198,中国-台湾,中国-台湾-台北,,,中国-福建-龙岩,150.0,70,食品和饮料,天津
335,许昆泰,150.0,30%,186,蓝天,Clevo,台湾台北,消费电子产品,Consumer and Industry Electronics,家族,先生,68,1956-01-01,198,中国-台湾,中国-台湾-台北,,,,150.0,68,消费电子产品,台湾台北
335,张雷,150.0,-6%,23,远景能源,Envision,江苏无锡,风电,Wind Power,未知,先生,48,1976-01-01,198,中国-江苏-无锡,中国-江苏-无锡,,,,150.0,48,风电,江苏无锡
335,赵丰刚,150.0,-21%,-55,宁德时代,CATL,福建宁德,锂电池,Battery technology,未知,先生,58,1966-01-01,198,,中国-福建-宁德,硕士,中国科技大学,,150.0,58,锂电池,福建宁德
345,池宇峰,145.0,-17%,-32,完美世界,Perfect World,北京,网游、影视娱乐,"Online Games, Entertainment",未知,先生,53,1971-01-01,198,中国-湖北,中国-北京,硕士,清华,中国-湖北,145.0,53,网游、影视娱乐,北京
345,高纪凡,145.0,-45%,-148,天合光能,Trinasolar,江苏常州,光伏产品,Photovoltaic Products,家族,先生,59,1965-01-01,198,,中国-江苏-常州,,,,145.0,59,光伏产品,江苏常州
345,李锂、李坦,145.0,-9%,13,海普瑞,Hepalink,广东深圳,医药,Pharmaceuticals,夫妇,先生,60,1964-01-01,198,中国-四川-眉山,中国-广东-深圳,本科,川大,中国-四川-眉山,145.0,60,医药,广东深圳
345,李如成、李寒穷,145.0,7%,82,雅戈尔,Youngor,浙江宁波,服装、房地产、投资,"Apparel, Real Estate, Investments ",父女,先生,73,1951-01-01,198,中国-浙江-绍兴,中国-浙江-宁波,,,,145.0,73,服装、房地产、投资,浙江宁波
345,林刚,145.0,-22%,-55,康哲药业,CMS,广东深圳,医药,Pharmaceuticals,未知,先生,60,1964-01-01,198,中国-广东,中国-广东-深圳,硕士,广东医学院,,145.0,60,医药,广东深圳
345,聂腾云、陈立英,145.0,-26%,-71,韵达,Yunda,上海青浦,物流,Logistics,夫妇,先生,48,1976-01-01,198,,中国-上海,,,,145.0,48,物流,上海青浦
345,戚金兴、戚加奇,145.0,-17%,-32,滨江,Binjiang,浙江杭州,房地产,Real estate,父子,先生,62,1962-01-01,198,中国-浙江,中国-浙江-杭州,硕士,,,145.0,62,房地产,浙江杭州
345,沈炜,145.0,0%,43,VIVO,VIVO,广东东莞,消费电子产品,Consumer Electronics,未知,先生,未知,1900-01-01,198,,中国-广东-东莞,,,,145.0,0,消费电子产品,广东东莞
353,侯军呈,140.0,-13%,5,珀莱雅,Proya Cosmetics,浙江杭州,化妆品,Cosmetics,未知,先生,60,1964-12-01,198,中国-浙江-温州,中国-浙江-杭州,,,,140.0,60,化妆品,浙江杭州
353,南存辉,140.0,-22%,-51,正泰,Chint,浙江温州,工业电器、投资,"Industrial electronics, Investments",未知,先生,61,1963-01-01,198,中国-山东-济宁,中国-浙江-温州,,,,140.0,61,工业电器、投资,浙江温州
353,潘来灿,140.0,-3%,35,海天味业,Haitian,广东佛山,调味品,Food Flavorings,未知,先生,未知,1900-01-01,198,,中国-广东-佛山,,,,140.0,0,调味品,广东佛山
353,汪建,140.0,-40%,-130,华大基因、碳云,"Bgi Genomics, iCarbonX",广东深圳,基因检测、医疗大数据,Genetic Testing,未知,先生,70,1954-01-01,198,中国-湖南,中国-广东-深圳,,,中国-湖南,140.0,70,基因检测、医疗大数据,广东深圳
353,王燕清,140.0,-49%,-169,先导智能,Lead,江苏无锡,自动化设备,Automation equipment manufacturing,家族,先生,58,1966-04-01,198,中国-江苏-无锡,中国-江苏-无锡,,,中国-江苏-无锡,140.0,58,自动化设备,江苏无锡
353,王一鸣,140.0,-15%,-11,锦浪科技,Ginlong Technologies,浙江宁波,光伏逆变器,Inverter,家族,先生,43,1981-01-01,198,,中国-浙江-宁波,,,,140.0,43,光伏逆变器,浙江宁波
353,王长田、杜英莲,140.0,-24%,-63,光线传媒,Enlight Media,北京,影视娱乐,Entertainment,夫妇,先生,59,1965-04-01,198,中国-辽宁-大连,中国-北京,本科,复旦,中国-辽宁-大连,140.0,59,影视娱乐,北京
353,魏应充,140.0,0%,53,顶新,Ting Hsin,天津,食品和饮料,Food & Beverages,未知,先生,67,1957-03-08,198,中国-台湾,中国-台湾-台北,,,中国-福建-龙岩,140.0,67,食品和饮料,天津
353,魏应交,140.0,0%,53,顶新,Ting Hsin,天津,食品和饮料,Food & Beverages,未知,先生,69,1955-02-04,198,中国-台湾,中国-台湾-台北,,,中国-福建-龙岩,140.0,69,食品和饮料,天津
353,魏应行,140.0,0%,53,顶新,Ting Hsin,天津,食品和饮料,Food & Beverages,未知,先生,65,1959-01-01,198,中国-台湾,中国-台湾-台北,,,中国-福建-龙岩,140.0,65,食品和饮料,天津
353,吴凯,140.0,-20%,-40,宁德时代,CATL,福建宁德,锂电池,Battery technology,未知,先生,56,1968-01-01,198,,中国-福建-宁德,博士,上海交大,,140.0,56,锂电池,福建宁德
353,吴礼淦,140.0,56%,316,沪电股份,WUS Printed Circuit,上海,印制电路板,Electronic components,家族,先生,83,1941-01-01,198,中国-台湾,中国-上海,,,中国-湖北-武汉,140.0,83,印制电路板,上海
353,叶立培,140.0,-10%,17,仲盛,Super Ocean,上海闵行,投资、房地产,"Investments, Real Estate",家族,先生,80,1944-01-01,198,中国-上海,中国-香港,硕士,,中国-上海,140.0,80,投资、房地产,上海闵行
353,易大盛,140.0,4%,74,富兴,Fuxing,湖南长沙,汽车服务，产业园区,"Car seivices, Real Estate",未知,先生,63,1961-02-01,198,,中国-湖南-长沙,,,,140.0,63,汽车服务，产业园区,湖南长沙
353,俞敏洪,140.0,4%,74,新东方,New Oriental,北京,教育,Education,未知,先生,62,1962-10-01,198,中国-江苏-无锡,中国-北京,本科,北大,中国-江苏-无锡,140.0,62,教育,北京
353,周永利,140.0,-7%,24,永利,Yongli,浙江绍兴,轻纺、房地产、投资,"Textiles, real estate, Investments",家族,先生,68,1956-01-01,198,中国-浙江-绍兴,中国-浙江-绍兴,,,,140.0,68,轻纺、房地产、投资,浙江绍兴
353,竺兆江,140.0,-15%,-11,传音,Transsion,广东深圳,消费电子产品,Mobile,未知,先生,51,1973-01-01,198,,中国-广东-深圳,,,,140.0,51,消费电子产品,广东深圳
353,卓志哲,140.0,47%,282,联发科技,Media Tek,台湾新竹,半导体,Semiconductors,未知,先生,未知,1900-01-01,198,中国-台湾-鹿港,中国-台湾-新竹,,,,140.0,0,半导体,台湾新竹
371,邓鸿,135.0,-10%,6,成都环球世纪,Chengdu International Exhibition & Convention Center,四川成都,投资、房地产,"Investments, Real Estate",未知,先生,61,1963-01-01,198,中国-四川,中国-四川-成都,本科,北京工业,中国-四川,135.0,61,投资、房地产,四川成都
371,董凡,135.0,13%,121,健帆生物,Jafron Biomedical,广东珠海,生物医疗设备,Health Tech,未知,先生,54,1970-01-01,198,,中国-广东-珠海,硕士,上财、中山,,135.0,54,生物医疗设备,广东珠海
371,方文雄,135.0,0%,56,协成行,Hip Shing Hong,香港,房地产,Estate Holding,家族,先生,未知,1900-01-01,198,中国-广东-东莞,中国-香港,,,中国-广东-东莞,135.0,0,房地产,香港
371,何猷龙,135.0,-13%,-1,新濠国际,Melco,香港,博彩,Gaming,家族,先生,48,1976-01-01,198,中国-香港,中国-香港,,,中国-香港,135.0,48,博彩,香港
371,焦佑伦,135.0,8%,100,华新丽华,Walsin Lihwa,台湾台北,半导体,Semiconductors,家族,先生,66,1958-01-01,198,,中国-台北,,,,135.0,66,半导体,台湾台北
371,林秀成、林志强,135.0,-18%,-29,三安,Sanan,福建厦门,LED,LED,父子,先生,69,1955-01-01,198,中国-福建-泉州,中国-福建-厦门,,,中国-福建-泉州市,135.0,69,LED,福建厦门
371,刘卫平,135.0,0%,56,卫龙,Weilong,河南漯河,食品,Food,未知,先生,45,1979-01-01,198,中国-湖南-平江,中国-河南-漯河,,,中国-湖南,135.0,45,食品,河南漯河
371,刘志强、翟美卿,135.0,-10%,6,香江,Heung Kong,广东深圳,房地产、金融,"Real Estate, Finance",夫妇,先生,60,1964-10-01,198,中国-广东,中国-广东-深圳,硕士,,中国-广东,135.0,60,房地产、金融,广东深圳
371,沈锡强,135.0,-16%,-13,雅克科技,Yoke Technology,江苏无锡,化工新材料,Chemical materials,家族,先生,76,1948-03-01,198,中国-江苏-无锡,中国-江苏-无锡,,,中国-江苏-无锡,135.0,76,化工新材料,江苏无锡
